also,また
oh,おー!
thank,～に礼を言う
nine,9
thousand,千の
sandwich,サンドウイッチ
pot,つぼ
very,とても
finish,終える
lose,失う
homework,宿題
clothes,着物
music,音楽
joke,ジョーク
every,あらゆる
count,数える
friend,友人
star,星
classroom,教室
pink,ピンク
bus,バス
sky,空
hungry,空腹
till,～まで
understand,理解する
secret,秘密
third,三番目の
power,力
water,水
stop,止める
lesson,レッスン
banana,バナナ
silver,銀
afternoon,午後
safe,安全な
a,ひとつの
that,あれ
no,いいえ
smoke,煙草を吸う
teach,教える
seventy,70
once,一度
make,作る
summer,夏
market,市場
death,終わり
full,いっぱいの
me,私に
she,彼女は
your,あなたの
dog,犬
roof,屋根
cheap,安い
parent,両親
musician,音楽家
group,グループ
seem,～らしい
note,書き留める
let,させる
company,会社
hear,聞く
hill,丘
yours,あなたのもの
date,デート
nice,いい
bread,パン
age,年齢
are,～は
kiss,キス
drink,飲む
hotel,ホテル
radio,ラジオ
so,そのように
trouble,困難
student,生徒
is,～は
weekend,週末
pull,引く
into,～の中へ
lion,ライオン
call,呼ぶ
town,町
bridge,橋
sometimes,ときどき
night,夜
below,下に
feel,感じる
Friday,金曜日
bye,さよなら
lunch,昼食
meal,食事
gone,行ってしまった
month,月
vacation,休暇
world,世界
cloud,大群
dream,夢を見る
baker,パン屋
try,試す
eighty,80の
welcome,ようこそ
plane,飛行機
spring,春
half,半分
round,丸い
ago,以前に
black,黒
Miss,~さん
fall,落ちる
her,彼女の
September,9月
violin,バイオリン
chance,チャンス
February,2月
hole,穴
gray,青ざめた
knife,ナイフ
natural,自然な
job,仕事
drive,(車を)運転する
wake,起こす
see,見る
whose,誰の
subway,地下鉄
fool,ばか
snow,雪
act,行為
sports,スポーツ
member,メンバー
tongue,舌
change,変わる
department,一部
season,季節
glass,コップ
mail,手紙
past,過去
lake,湖
laugh,笑う
like,好き
coat,の表面をおおう
take,取る
through,～を通り抜けて
next,次
afraid,残念ながら
toe,足指
happiness,幸せ
doll,人形
yellow,黄色
interested,興味を持った
sun,太陽
place,場所
tell,教える
pass,通り過ぎる
another,もう一つの
trip,旅行
robot,ロボット
useful,役に立つ
future,未来
bell,ベル
in,中
cover,被う
enjoy,楽しむ
hurry,急いでする
flat,平らな
five,5
seat,椅子
remember,思い出す
reach,届く
song,歌
hers,彼女のもの
jump,ジャンプ
fish,魚
slowly,おそく
high,高い
hospital,病院
then,あの時
use,使う
talk,話す
did,～をした
rain,雨
clever,利口な
frog,カエル
junior,年少の
across,～の向こう側に
from,～から
wide,広い
bath,浴槽
diary,日記
airport,空港
blue,青
where,どこ
save,救う
children,子供達
quarter,4分の1
arrive,到着する
bat,コウモリ
uncle,叔父
away,向こうへ
family,家族
food,食べ物
love,愛
bring,持ってくる
neck,首
tonight,今晩
brother,兄弟
classmate,級友
do,する
sixty,60
help,助ける
Sunday,日曜日
white,白
tall,高い
apartment,部屋
sad,悲しい
master,熟達者
climb,登る
July,7月
not,～じゃない
cut,切る
midnight,真夜中
narrow,狭い
film,フィルム
letter,手紙
tomorrow,明日
husband,夫
sit,すわる
supermarket,スーパーマーケット
pipe,パイプ
pig,ブタ
which,この
river,川
goodbye,さようなら
move,動く
thirteen,13
mouse,ネズミ
singer,歌手
bed,ベッド
cup,茶わん
fast,速い
gold,金色
difficult,難しい
dinner,夕食
clear,明るい
hard,固い
under,下
dry,乾燥した
policeman,警官
plant,植物
circle,円
shoulder,肩
real,本当の
orange,オレンジ
evening,夕方
different,いろいろな
bag,鞄
library,図書館
body,体
simple,簡単な
ask,尋ねる
anybody,だれでも
or,または
hundred,100
tired,疲れた
small,小さい
than,よりも
shopping,買い物する
floor,床
voice,声
father,父
dark,暗い
how,どうやって
beautiful,美しい
mine,私のもの
long,長い
same,同じ
east,東
delicious,おいしい
if,もし
rock,岩
knee,膝
buy,買う
fifty,50
head,頭
over,超えて
speed,スピード
aunt,叔母
wave,波
factory,工場
look,見る
today,今日
swim,泳ぐ
its,その
any,いくらかの
invite,招待する
by,～によって
both,両方の
sale,販売
break,～を壊す
and,～と
but,しかし
egg,卵
come,から生じる
wear,着る
child,子供
better,もっと良い
sound,音
why,なぜ
their,それらの
quickly,速く
left,左
car,車
memory,記憶
station,駅
they,それら
teacher,教師
fourteen,14
busy,忙しい
blackboard,黒板
bike,自転車
daddy,お父さん
pocket,ポケット
weak,弱い
interesting,面白い
often,しばしば
dear,親愛なる～
dirty,汚れる
shoe,くつ
strange,変な
usually,普通
you,あなた
ear,耳
level,レベル
cloudy,雲りの
down,下
south,南
gentleman,男性
as,につれて
lady,婦人
dance,ダンスする
map,地図
quiet,静かな
yes,はい
cake,ケーキ
tea,茶
even,～でさえ
tie,～を縛る
seventeen,17
photograph,写真
tree,木
bottle,ビン
language,言葉
chair,椅子
pay,払う
thirty,三十
butter,バター
suddenly,突然
promise,約束
money,金
return,戻る
oil,油
most,大抵の
plan,計画
first,初めて
eleven,11
mean,意味する
nineteen,19
kill,殺す
ours,私たちのもの
many,たくさんの
space,間隔
famous,有名な
second,二番目の
woman,女性
decide,判定を下す
large,大きい
video,ビデオ
each,それぞれ
airplane,飛行機
October,10月
Monday,月曜日
nothing,ない
machine,機械
switch,スイッチ
choose,選ぶ
be,～は
put,押す
here,ここで
clock,時計
toward,に向って
meter,メートル
soccer,サッカー
funny,おかしな
together,一緒に
shape,形
carry,運ぶ
sign,署名する
shut,閉める
boot,つけ加えると
year,年
August,8月
draw,引出す
cafe,喫茶店
sleepy,眠い
college,大学
walk,散歩
though,～にも関わらず
go,行く
Mrs.,～婦人
fight,戦い
soda,ソーダ
fact,真実
boat,船で運ぶ
thin,薄い
juice,ジュース
tower,塔
post,貼る
we,私達は
pretty,かわいらしい
get,取る
believe,信頼する
queen,女王
it,それ
twelve,十二
case,入れ物
tooth,歯
them,それら
drop,落とす
Tuesday,火曜日
live,住む
slow,速度をおとす
please,楽しませる
to,～に
war,戦争
football,フットボール
price,値段
land,国
hair,毛
right,正しい
the,その
gun,銃
shop,店
would,だろう
beginning,始まり
sugar,砂糖
sure,～を確信している
hour,時刻
pencil,鉛筆
sing,(～を)歌う
card,カード
study,勉強する
north,北
among,～の間で
history,歴史
taxi,タクシー
name,名前
bedroom,寝室
early,初期の
proud,誇り
dead,死んだ
room,部屋
way,道
know,知る
ticket,切符
become,～になる
west,西
soon,間もなく
show,見せる
tunnel,トンネル
already,すでに
sea,海
beside,のそばで
ever,これまでに
store,店
ten,10
cry,泣く
Mr.,～氏
careful,気をつける
warm,温かい
along,に沿って
again,再び
field,野原
page,ページ
mother,母
OK,はい
office,事務所
ice,氷
build,建てる
hope,希望
present,現在
piece,かけら
paper,紙
percent,パーセント
dad,お父さん
center,センター
rope,縄
daughter,娘
forest,森林
farmer,農場主
garden,庭
throw,捨てる
phone,電話
visit,訪れる
arm,腕
time,時間
May,5月
stay,留まる
ride,馬で進む
June,6月
healthy,健康に良い
anyone,誰も
videotape,ビデオテープ
all,すべての
cat,猫
winter,冬
middle,真ん中
late,遅い
die,死ぬ
autumn,秋
fresh,新鮮な
nobody,誰も～ない
country,国
golf,ゴルフ
part,部分
class,クラス
while,～の間
son,息子
science,科学
towel,タオル
something,なにか
bad,悪い
candy,キャンデー
of,～の
best,最も
fork,フォーク
catch,つかまえる
quick,速い
certain,疑う余地のない
meeting,会議
perhaps,もしかしたら
horse,ウマ
say,言う
number,数
smell,匂い
March,3月
wind,風
leg,足
sheep,羊
always,いつも
begin,始める
wash,洗う
newspaper,新聞
has,持っている
few,いくつかの
big,大きい
week,週
birthday,誕生日
with,～と一緒に
learn,学ぶ
o'clock,～時
these,これらの
glove,グローブ
book,本
hand,手
must,～しなければならない
soup,スープ
rainy,雨降りの
kid,子供
house,住居
type,型
mile,マイル
king,王
textbook,教科書
special,特別な
three,3
coffee,コーヒー
usual,いつもの
apple,リンゴ
soft,やわらかい
everybody,みんな
farm,農場
cow,【動物】雌牛
whom,だれに
window,窓
before,～の前に
clean,きれいにする
wrong,間違った
behind,後ろに(へ)
now,今
kind,優しい
